nucleotide_acc,detail,mge_class,genus,species
NZ_MBLB01000017.1,ET-ID2077|ISSpy2|IS982|other|Tnp|962 ,transposon,g__Streptococcus,s__Streptococcus agalactiae
NZ_NXEM01000027.1,ET-ID3412|ISBpu1|IS1182|other|Tnp|1709 ,transposon,g__Bacillus,s__Bacillus vallismortis
NZ_QSTB01000004.1,"ET-ID979|ISLjo5|IS200-IS605|IS605|Tnp,AG:TnpB|2101 ",transposon,g__Ligilactobacillus,s__Ligilactobacillus salivarius
NZ_RAGK01000014.1,ET-ID475|IS981|IS3|IS3|ORF ,transposon,g__Lactococcus,s__Lactococcus lactis
NZ_UAVB01000001.1,ET-ID3728|ISSth1b|IS3|IS150|ORF ,transposon,g__Streptococcus,s__Streptococcus agalactiae
NZ_UEND01000001.1,ET-ID75|IS1167A|ISL3|other|Tnp|1419 ,transposon,g__Streptococcus,s__Streptococcus intermedius
NZ_VANM01000008.1,ET-ID608|IS-LL6|IS3|IS3|Tnp|1254 ,transposon,g__Lactococcus,s__Lactococcus lactis
NZ_VIEC01000009.1,ET-ID1117|ISSsu3|IS630|other|ORF ,transposon,g__Streptococcus,s__Streptococcus suis
NZ_VSTI01000002.1,ET-ID1838|ISBce15|IS3|IS150|ORF ,transposon,g__Ligilactobacillus,s__Ligilactobacillus salivarius
NZ_VSVP01000003.1,"ET-ID979|ISLjo5|IS200-IS605|IS605|Tnp,AG:TnpB|2101 ",transposon,g__Ligilactobacillus,s__Ligilactobacillus salivarius
NZ_VZJE01000008.1,ET-ID1117|ISSsu3|IS630|other|ORF ,transposon,g__Streptococcus,s__Streptococcus suis
NZ_VZKT01000008.1,ET-ID1117|ISSsu3|IS630|other|ORF ,transposon,g__Streptococcus,s__Streptococcus suis
NZ_VZLI01000008.1,ET-ID1117|ISSsu3|IS630|other|ORF ,transposon,g__Streptococcus,s__Streptococcus suis
NZ_VZLK01000008.1,ET-ID1117|ISSsu3|IS630|other|ORF ,transposon,g__Streptococcus,s__Streptococcus suis
NZ_WHVU01000008.1,ET-ID973|ISSau6|IS6|other|Tnp|793 ,transposon,g__Staphylococcus,s__Staphylococcus capitis
